Time,Voltage,Current_L,Current_R,Current_C,Power_R,Power_Total
      0.01100000,      1.38623455,      0.25885021,      0.01386235,      0.24498787,      0.01921646,      6.21240515,
      0.01120000,      1.43563480,      0.26336804,      0.01435635,      0.24901169,      0.02061047,      6.32083299,
      0.01140000,      1.48583802,      0.26787591,      0.01485838,      0.25301753,      0.02207715,      6.42902177,
      0.01160000,      1.53684060,      0.27237365,      0.01536841,      0.25700525,      0.02361879,      6.53696766,
      0.01180000,      1.58863891,      0.27686112,      0.01588639,      0.26097473,      0.02523774,      6.64466683,
      0.01200000,      1.64122927,      0.28133814,      0.01641229,      0.26492585,      0.02693634,      6.75211546,
      0.01220000,      1.69460802,      0.28580457,      0.01694608,      0.26885849,      0.02871696,      6.85930977,
      0.01240000,      1.74877143,      0.29026025,      0.01748771,      0.27277253,      0.03058202,      6.96624597,
      0.01260000,      1.80371578,      0.29470501,      0.01803716,      0.27666786,      0.03253391,      7.07292031,
      0.01280000,      1.85943732,      0.29913871,      0.01859437,      0.28054434,      0.03457507,      7.17932906,
      0.01300000,      1.91593225,      0.30356119,      0.01915932,      0.28440186,      0.03670796,      7.28546848,
      0.01320000,      1.97319679,      0.30797229,      0.01973197,      0.28824032,      0.03893506,      7.39133487,
      0.01340000,      2.03122710,      0.31237186,      0.02031227,      0.29205959,      0.04125884,      7.49692456,
      0.01360000,      2.09001934,      0.31675974,      0.02090019,      0.29585955,      0.04368181,      7.60223388,
      0.01380000,      2.14956963,      0.32113580,      0.02149570,      0.29964010,      0.04620650,      7.70725917,
      0.01400000,      2.20987408,      0.32549987,      0.02209874,      0.30340113,      0.04883543,      7.81199680,
      0.01420000,      2.27092877,      0.32985180,      0.02270929,      0.30714251,      0.05157117,      7.91644318,
      0.01440000,      2.33272977,      0.33419145,      0.02332730,      0.31086415,      0.05441628,      8.02059469,
      0.01460000,      2.39527311,      0.33851866,      0.02395273,      0.31456593,      0.05737333,      8.12444778,
      0.01480000,      2.45855481,      0.34283329,      0.02458555,      0.31824774,      0.06044492,      8.22799889,
      0.01500000,      2.52257086,      0.34713519,      0.02522571,      0.32190948,      0.06363364,      8.33124448,
      0.01520000,      2.58731725,      0.35142421,      0.02587317,      0.32555104,      0.06694211,      8.43418104,
      0.01540000,      2.65278992,      0.35570021,      0.02652790,      0.32917231,      0.07037294,      8.53680507,
      0.01560000,      2.71898482,      0.35996305,      0.02718985,      0.33277320,      0.07392878,      8.63911310,
      0.01580000,      2.78589784,      0.36421257,      0.02785898,      0.33635359,      0.07761227,      8.74110167,
