Time,Voltage,Current_L,Current_R,Current_C,Power_R,Power_Source,Power_L,Power_C,Energy_L,Energy_C
  3.75000018E-01,  2.20358131E+01,  1.31261717E-01,  2.20358131E-01, -8.90964137E-02,  4.85577058E+00,  3.15028121E+00,  2.89245866E+00, -1.96331192E+00,  8.61481918E-03,  2.42788529E-01,
  3.76000018E-01,  2.19481542E+01,  1.33269974E-01,  2.19481542E-01, -8.62115679E-02,  4.81721472E+00,  3.19847937E+00,  2.92502993E+00, -1.89218478E+00,  8.88044297E-03,  2.40860736E-01,
  3.77000018E-01,  2.18634090E+01,  1.35364438E-01,  2.18634090E-01, -8.32696519E-02,  4.78008651E+00,  3.24874650E+00,  2.95952806E+00, -1.82055845E+00,  9.16176548E-03,  2.39004325E-01,
  3.78000018E-01,  2.17816327E+01,  1.37542166E-01,  2.17816327E-01, -8.02741607E-02,  4.74439524E+00,  3.30101200E+00,  2.99589295E+00, -1.74850229E+00,  9.45892378E-03,  2.37219762E-01,
  3.79000018E-01,  2.17028773E+01,  1.39800165E-01,  2.17028773E-01, -7.72286077E-02,  4.71014883E+00,  3.35520397E+00,  3.03406584E+00, -1.67608300E+00,  9.77204312E-03,  2.35507442E-01,
  3.80000018E-01,  2.16271910E+01,  1.42135389E-01,  2.16271910E-01, -7.41365211E-02,  4.67735391E+00,  3.41124934E+00,  3.07398921E+00, -1.60336470E+00,  1.01012344E-02,  2.33867695E-01,
  3.81000018E-01,  2.15546186E+01,  1.44544746E-01,  2.15546186E-01, -7.10014403E-02,  4.64601583E+00,  3.46907389E+00,  3.11560686E+00, -1.53040896E+00,  1.04465917E-02,  2.32300791E-01,
  3.82000018E-01,  2.14852013E+01,  1.47025100E-01,  2.14852013E-01, -6.78269124E-02,  4.61613874E+00,  3.52860241E+00,  3.15886387E+00, -1.45727486E+00,  1.08081901E-02,  2.30806937E-01,
  3.83000018E-01,  2.14189767E+01,  1.49573279E-01,  2.14189767E-01, -6.46164882E-02,  4.58772564E+00,  3.58975870E+00,  3.20370658E+00, -1.38401906E+00,  1.11860829E-02,  2.29386282E-01,
  3.84000018E-01,  2.13559791E+01,  1.52186071E-01,  2.13559791E-01, -6.13737192E-02,  4.56077842E+00,  3.65246572E+00,  3.25008256E+00, -1.31069586E+00,  1.15803002E-02,  2.28038921E-01,
  3.85000018E-01,  2.12962389E+01,  1.54860235E-01,  2.12962389E-01, -5.81021535E-02,  4.53529790E+00,  3.71664565E+00,  3.29794056E+00, -1.23735734E+00,  1.19908462E-02,  2.26764895E-01,
  3.86000018E-01,  2.12397832E+01,  1.57592499E-01,  2.12397832E-01, -5.48053326E-02,  4.51128389E+00,  3.78221998E+00,  3.34723051E+00, -1.16405338E+00,  1.24176979E-02,  2.25564195E-01,
  3.87000018E-01,  2.11866354E+01,  1.60379567E-01,  2.11866354E-01, -5.14867880E-02,  4.48873522E+00,  3.84910960E+00,  3.39790341E+00, -1.09083181E+00,  1.28608027E-02,  2.24436761E-01,
  3.88000018E-01,  2.11368157E+01,  1.63218119E-01,  2.11368157E-01, -4.81500374E-02,  4.46764976E+00,  3.91723486E+00,  3.44991130E+00, -1.01773847E+00,  1.33200772E-02,  2.23382488E-01,
  3.89000018E-01,  2.10903403E+01,  1.66104821E-01,  2.10903403E-01, -4.47985820E-02,  4.44802453E+00,  3.98651569E+00,  3.50320719E+00, -9.44817339E-01,  1.37954057E-02,  2.22401226E-01,
  3.90000019E-01,  2.10472222E+01,  1.69036320E-01,  2.10472222E-01, -4.14359026E-02,  4.42985564E+00,  4.05687167E+00,  3.55774499E+00, -8.72110650E-01,  1.42866387E-02,  2.21492782E-01,
  3.91000019E-01,  2.10074710E+01,  1.72009254E-01,  2.10074710E-01, -3.80654563E-02,  4.41313840E+00,  4.12822210E+00,  3.61347942E+00, -7.99658972E-01,  1.47935917E-02,  2.20656920E-01,
  3.92000019E-01,  2.09710928E+01,  1.75020254E-01,  2.09710928E-01, -3.46906740E-02,  4.39786731E+00,  4.20048609E+00,  3.67036597E+00, -7.27501342E-01,  1.53160446E-02,  2.19893366E-01,
  3.93000019E-01,  2.09380900E+01,  1.78065944E-01,  2.09380900E-01, -3.13149564E-02,  4.38403613E+00,  4.27358265E+00,  3.72836075E+00, -6.55675376E-01,  1.58537401E-02,  2.19201806E-01,
  3.94000019E-01,  2.09084620E+01,  1.81142949E-01,  2.09084620E-01, -2.79416714E-02,  4.37163784E+00,  4.34743077E+00,  3.78742047E+00, -5.84217376E-01,  1.64063840E-02,  2.18581892E-01,
  3.95000019E-01,  2.08822047E+01,  1.84247896E-01,  2.08822047E-01, -2.45741511E-02,  4.36066475E+00,  4.42194951E+00,  3.84750229E+00, -5.13162455E-01,  1.69736436E-02,  2.18033237E-01,
  3.96000019E-01,  2.08593107E+01,  1.87377418E-01,  2.08593107E-01, -2.12156885E-02,  4.35110843E+00,  4.49705804E+00,  3.90856379E+00, -4.42544639E-01,  1.75551485E-02,  2.17555421E-01,
  3.97000019E-01,  2.08397692E+01,  1.90528157E-01,  2.08397692E-01, -1.78695350E-02,  4.34295982E+00,  4.57267578E+00,  3.97056284E+00, -3.72396987E-01,  1.81504894E-02,  2.17147991E-01,
  3.98000019E-01,  2.08235665E+01,  1.93696767E-01,  2.08235665E-01, -1.45388973E-02,  4.33620920E+00,  4.64872241E+00,  4.03345751E+00, -3.02751694E-01,  1.87592188E-02,  2.16810460E-01,
  3.99000019E-01,  2.08106852E+01,  1.96879917E-01,  2.08106852E-01, -1.12269348E-02,  4.33084620E+00,  4.72511802E+00,  4.09720599E+00, -2.33640205E-01,  1.93808510E-02,  2.16542310E-01,
  4.00000019E-01,  2.08011053E+01,  2.00074296E-01,  2.08011053E-01, -7.93675675E-03,  4.32685983E+00,  4.80178312E+00,  4.16176651E+00, -1.65093313E-01,  2.00148621E-02,  2.16342991E-01,
  4.01000019E-01,  2.07948034E+01,  2.03276614E-01,  2.07948034E-01, -4.67142002E-03,  4.32423850E+00,  4.87863874E+00,  4.22709724E+00, -9.71412611E-02,  2.06606910E-02,  2.16211925E-01,
  4.02000019E-01,  2.07917532E+01,  2.06483606E-01,  2.07917532E-01, -1.43392621E-03,  4.32297001E+00,  4.95560654E+00,  4.29315617E+00, -2.98138398E-02,  2.13177397E-02,  2.16148501E-01,
  4.03000019E-01,  2.07919253E+01,  2.09692034E-01,  2.07919253E-01,  1.77278065E-03,  4.32304158E+00,  5.03260881E+00,  4.35990110E+00,  3.68595230E-02,  2.19853745E-02,  2.16152079E-01,
  4.04000019E-01,  2.07952875E+01,  2.12898692E-01,  2.07952875E-01,  4.94581643E-03,  4.32443984E+00,  5.10956860E+00,  4.42728951E+00,  1.02849675E-01,  2.26629265E-02,  2.16221992E-01,
  4.05000019E-01,  2.08018048E+01,  2.16100407E-01,  2.08018048E-01,  8.08235918E-03,  4.32715082E+00,  5.18640977E+00,  4.49527848E+00,  1.68127658E-01,  2.33496930E-02,  2.16357541E-01,
  4.06000019E-01,  2.08114392E+01,  2.19294043E-01,  2.08114392E-01,  1.11796514E-02,  4.33116000E+00,  5.26305703E+00,  4.56382464E+00,  2.32664635E-01,  2.40449387E-02,  2.16558000E-01,
  4.07000019E-01,  2.08241501E+01,  2.22476503E-01,  2.08241501E-01,  1.42350020E-02,  4.33645228E+00,  5.33943607E+00,  4.63288409E+00,  2.96431818E-01,  2.47478972E-02,  2.16822614E-01,
  4.08000019E-01,  2.08398943E+01,  2.25644732E-01,  2.08398943E-01,  1.72457884E-02,  4.34301195E+00,  5.41547356E+00,  4.70241236E+00,  3.59400408E-01,  2.54577725E-02,  2.17150598E-01,
  4.09000019E-01,  2.08586260E+01,  2.28795718E-01,  2.08586260E-01,  2.02094586E-02,  4.35082278E+00,  5.49109724E+00,  4.77236432E+00,  4.21541538E-01,  2.61737404E-02,  2.17541139E-01,
  4.10000019E-01,  2.08802967E+01,  2.31926500E-01,  2.08802967E-01,  2.31235327E-02,  4.35986791E+00,  5.56623600E+00,  4.84269413E+00,  4.82826224E-01,  2.68949507E-02,  2.17993395E-01,
  4.11000020E-01,  2.09048557E+01,  2.35034162E-01,  2.09048557E-01,  2.59856049E-02,  4.37012993E+00,  5.64081989E+00,  4.91335525E+00,  5.43225322E-01,  2.76205287E-02,  2.18506496E-01,
  4.12000020E-01,  2.09322498E+01,  2.38115843E-01,  2.09322498E-01,  2.87933451E-02,  4.38159083E+00,  5.71478024E+00,  4.98430032E+00,  6.02709493E-01,  2.83495774E-02,  2.19079541E-01,
  4.13000020E-01,  2.09624236E+01,  2.41168736E-01,  2.09624236E-01,  3.15445004E-02,  4.39423201E+00,  5.78804966E+00,  5.05548119E+00,  6.61249179E-01,  2.90811796E-02,  2.19711601E-01,
  4.14000020E-01,  2.09953192E+01,  2.44190089E-01,  2.09953192E-01,  3.42368968E-02,  4.40803430E+00,  5.86056214E+00,  5.12684888E+00,  7.18814578E-01,  2.98143998E-02,  2.20401715E-01,
  4.15000020E-01,  2.10308770E+01,  2.47177211E-01,  2.10308770E-01,  3.68684403E-02,  4.42297789E+00,  5.93225306E+00,  5.19835353E+00,  7.75375635E-01,  3.05482868E-02,  2.21148895E-01,
  4.16000020E-01,  2.10690351E+01,  2.50127469E-01,  2.10690351E-01,  3.94371182E-02,  4.43904241E+00,  6.00305927E+00,  5.26994444E+00,  8.30902028E-01,  3.12818755E-02,  2.21952121E-01,
  4.17000020E-01,  2.11097296E+01,  2.53038297E-01,  2.11097296E-01,  4.19410001E-02,  4.45620686E+00,  6.07291912E+00,  5.34157003E+00,  8.85363174E-01,  3.20141898E-02,  2.22810343E-01,
  4.18000020E-01,  2.11528949E+01,  2.55907188E-01,  2.11528949E-01,  4.43782396E-02,  4.47444961E+00,  6.14177252E+00,  5.41317785E+00,  9.38728236E-01,  3.27442445E-02,  2.23722481E-01,
  4.19000020E-01,  2.11984633E+01,  2.58731708E-01,  2.11984633E-01,  4.67470747E-02,  4.49374845E+00,  6.20956098E+00,  5.48471460E+00,  9.90966147E-01,  3.34710482E-02,  2.24687423E-01,
  4.20000020E-01,  2.12463656E+01,  2.61509485E-01,  2.12463656E-01,  4.90458293E-02,  4.51408052E+00,  6.27622765E+00,  5.55612614E+00,  1.04204562E+00,  3.41936055E-02,  2.25704026E-01,
  4.21000020E-01,  2.12965310E+01,  2.64238224E-01,  2.12965310E-01,  5.12729135E-02,  4.53542233E+00,  6.34171737E+00,  5.62735752E+00,  1.09193519E+00,  3.49109194E-02,  2.26771116E-01,
  4.22000020E-01,  2.13488870E+01,  2.66915695E-01,  2.13488870E-01,  5.34268247E-02,  4.55774977E+00,  6.40597668E+00,  5.69835301E+00,  1.14060324E+00,  3.56219941E-02,  2.27887488E-01,
  4.23000020E-01,  2.14033598E+01,  2.69539745E-01,  2.14033598E-01,  5.55061478E-02,  4.58103809E+00,  6.46895389E+00,  5.76905614E+00,  1.18801805E+00,  3.63258372E-02,  2.29051904E-01,
  4.24000020E-01,  2.14598740E+01,  2.72108296E-01,  2.14598740E-01,  5.75095563E-02,  4.60526191E+00,  6.53059911E+00,  5.83940974E+00,  1.23414783E+00,  3.70214624E-02,  2.30263095E-01,
  4.25000020E-01,  2.15183531E+01,  2.74619344E-01,  2.15183531E-01,  5.94358123E-02,  4.63039521E+00,  6.59086425E+00,  5.90935601E+00,  1.27896080E+00,  3.77078919E-02,  2.31519761E-01,
  4.26000020E-01,  2.15787195E+01,  2.77070962E-01,  2.15787195E-01,  6.12837670E-02,  4.65641134E+00,  6.64970308E+00,  5.97883656E+00,  1.32242522E+00,  3.83841589E-02,  2.32820567E-01,
  4.27000020E-01,  2.16408942E+01,  2.79461303E-01,  2.16408942E-01,  6.30523608E-02,  4.68328301E+00,  6.70707127E+00,  6.04779248E+00,  1.36450947E+00,  3.90493099E-02,  2.34164151E-01,
  4.28000020E-01,  2.17047974E+01,  2.81788598E-01,  2.17047974E-01,  6.47406239E-02,  4.71098231E+00,  6.76292635E+00,  6.11616443E+00,  1.40518213E+00,  3.97024070E-02,  2.35549115E-01,
  4.29000020E-01,  2.17703484E+01,  2.84051159E-01,  2.17703484E-01,  6.63476758E-02,  4.73948068E+00,  6.81722783E+00,  6.18389269E+00,  1.44441201E+00,  4.03425306E-02,  2.36974034E-01,
  4.30000020E-01,  2.18374654E+01,  2.86247380E-01,  2.18374654E-01,  6.78727256E-02,  4.76874896E+00,  6.86993712E+00,  6.25091726E+00,  1.48216830E+00,  4.09687812E-02,  2.38437448E-01,
  4.31000020E-01,  2.19060662E+01,  2.88375734E-01,  2.19060662E-01,  6.93150721E-02,  4.79875738E+00,  6.92101763E+00,  6.31717794E+00,  1.51842056E+00,  4.15802821E-02,  2.39937869E-01,
  4.32000021E-01,  2.19760678E+01,  2.90434781E-01,  2.19760678E-01,  7.06741030E-02,  4.82947556E+00,  6.97043474E+00,  6.38261444E+00,  1.55313888E+00,  4.21761810E-02,  2.41473778E-01,
  4.33000021E-01,  2.20473865E+01,  2.92423160E-01,  2.20473865E-01,  7.19492953E-02,  4.86087251E+00,  7.01815585E+00,  6.44716644E+00,  1.58629392E+00,  4.27556523E-02,  2.43043626E-01,
  4.34000021E-01,  2.21199383E+01,  2.94339597E-01,  2.21199383E-01,  7.31402143E-02,  4.89291670E+00,  7.06415033E+00,  6.51077373E+00,  1.61785703E+00,  4.33178993E-02,  2.44645835E-01,
  4.35000021E-01,  2.21936387E+01,  2.96182901E-01,  2.21936387E-01,  7.42465138E-02,  4.92557600E+00,  7.10838963E+00,  6.57337630E+00,  1.64780030E+00,  4.38621554E-02,  2.46278800E-01,
  4.36000021E-01,  2.22684030E+01,  2.97951965E-01,  2.22684030E-01,  7.52679351E-02,  4.95881774E+00,  7.15084717E+00,  6.63491445E+00,  1.67609671E+00,  4.43876869E-02,  2.47940887E-01,
  4.37000021E-01,  2.23441462E+01,  2.99645769E-01,  2.23441462E-01,  7.62043065E-02,  4.99260872E+00,  7.19149845E+00,  6.69532888E+00,  1.70272017E+00,  4.48937934E-02,  2.49630436E-01,
  4.38000021E-01,  2.24207833E+01,  3.01263375E-01,  2.24207833E-01,  7.70555425E-02,  5.02691523E+00,  7.23032101E+00,  6.75456084E+00,  1.72764562E+00,  4.53798106E-02,  2.51345761E-01,
  4.39000021E-01,  2.24982290E+01,  3.02803933E-01,  2.24982290E-01,  7.78216434E-02,  5.06170306E+00,  7.26729439E+00,  6.81255222E+00,  1.75084915E+00,  4.58451109E-02,  2.53085153E-01,
  4.40000021E-01,  2.25763982E+01,  3.04266676E-01,  2.25763982E-01,  7.85026941E-02,  5.09693756E+00,  7.30240023E+00,  6.86924565E+00,  1.77230808E+00,  4.62891051E-02,  2.54846878E-01,
  4.41000021E-01,  2.26552061E+01,  3.05650924E-01,  2.26552061E-01,  7.90988632E-02,  5.13258362E+00,  7.33562217E+00,  6.92458466E+00,  1.79200105E+00,  4.67112436E-02,  2.56629181E-01,
  4.42000021E-01,  2.27345677E+01,  3.06956080E-01,  2.27345677E-01,  7.96104023E-02,  5.16860570E+00,  7.36694591E+00,  6.97851379E+00,  1.80990808E+00,  4.71110174E-02,  2.58430285E-01,
  4.43000021E-01,  2.28143988E+01,  3.08181632E-01,  2.28143988E-01,  8.00376443E-02,  5.20496792E+00,  7.39635917E+00,  7.03097865E+00,  1.82601073E+00,  4.74879592E-02,  2.60248396E-01,
  4.44000021E-01,  2.28946151E+01,  3.09327154E-01,  2.28946151E-01,  8.03810030E-02,  5.24163399E+00,  7.42385169E+00,  7.08192612E+00,  1.84029212E+00,  4.78416440E-02,  2.62081700E-01,
  4.45000021E-01,  2.29751330E+01,  3.10392301E-01,  2.29751330E-01,  8.06409715E-02,  5.27856736E+00,  7.44941524E+00,  7.13130441E+00,  1.85273705E+00,  4.81716904E-02,  2.63928368E-01,
  4.46000021E-01,  2.30558694E+01,  3.11376815E-01,  2.30558694E-01,  8.08181209E-02,  5.31573115E+00,  7.47304356E+00,  7.17906319E+00,  1.86333204E+00,  4.84777605E-02,  2.65786557E-01,
  4.47000021E-01,  2.31367419E+01,  3.12280517E-01,  2.31367419E-01,  8.09130988E-02,  5.35308824E+00,  7.49473242E+00,  7.22515372E+00,  1.87206548E+00,  4.87595608E-02,  2.67654412E-01,
  4.48000021E-01,  2.32176685E+01,  3.13103313E-01,  2.32176685E-01,  8.09266286E-02,  5.39060129E+00,  7.51447952E+00,  7.26952893E+00,  1.87892763E+00,  4.90168424E-02,  2.69530065E-01,
  4.49000021E-01,  2.32985682E+01,  3.13845189E-01,  2.32985682E-01,  8.08595071E-02,  5.42823282E+00,  7.53228455E+00,  7.31214356E+00,  1.88391074E+00,  4.92494015E-02,  2.71411641E-01,
  4.50000021E-01,  2.33793609E+01,  3.14506213E-01,  2.33793609E-01,  8.07126036E-02,  5.46594516E+00,  7.54814910E+00,  7.35295425E+00,  1.88700909E+00,  4.94570789E-02,  2.73297258E-01,
  4.51000021E-01,  2.34599672E+01,  3.15086530E-01,  2.34599672E-01,  8.04868581E-02,  5.50370060E+00,  7.56207672E+00,  7.39191964E+00,  1.88821905E+00,  4.96397606E-02,  2.75185030E-01,
  4.52000021E-01,  2.35403087E+01,  3.15586367E-01,  2.35403087E-01,  8.01832798E-02,  5.54146133E+00,  7.57407280E+00,  7.42900049E+00,  1.88753916E+00,  4.97973774E-02,  2.77073066E-01,
  4.53000022E-01,  2.36203081E+01,  3.16006026E-01,  2.36203081E-01,  7.98029450E-02,  5.57918957E+00,  7.58414464E+00,  7.46415972E+00,  1.88497015E+00,  4.99299044E-02,  2.78959479E-01,
  4.54000022E-01,  2.36998894E+01,  3.16345890E-01,  2.36998894E-01,  7.93469960E-02,  5.61684756E+00,  7.59230135E+00,  7.49736259E+00,  1.88051503E+00,  5.00373610E-02,  2.80842378E-01,
  4.55000022E-01,  2.37789773E+01,  3.16606412E-01,  2.37789773E-01,  7.88166387E-02,  5.65439764E+00,  7.59855389E+00,  7.52857670E+00,  1.87417907E+00,  5.01198101E-02,  2.82719882E-01,
  4.56000022E-01,  2.38574983E+01,  3.16788124E-01,  2.38574983E-01,  7.82131413E-02,  5.69180224E+00,  7.60291498E+00,  7.55777212E+00,  1.86596988E+00,  5.01773578E-02,  2.84590112E-01,
  4.57000022E-01,  2.39353797E+01,  3.16891629E-01,  2.39353797E-01,  7.75378318E-02,  5.72902401E+00,  7.60539909E+00,  7.58492146E+00,  1.85589745E+00,  5.02101522E-02,  2.86451201E-01,
  4.58000022E-01,  2.40125505E+01,  3.16917602E-01,  2.40125505E-01,  7.67920968E-02,  5.76602580E+00,  7.60602244E+00,  7.60999990E+00,  1.84397410E+00,  5.02183831E-02,  2.88301290E-01,
  4.59000022E-01,  2.40889409E+01,  3.16866788E-01,  2.40889409E-01,  7.59773789E-02,  5.80277074E+00,  7.60480291E+00,  7.63298533E+00,  1.83021459E+00,  5.02022807E-02,  2.90138537E-01,
  4.60000022E-01,  2.41644827E+01,  3.16740003E-01,  2.41644827E-01,  7.50951751E-02,  5.83922226E+00,  7.60176006E+00,  7.65385833E+00,  1.81463606E+00,  5.01621146E-02,  2.91961113E-01,
  4.61000022E-01,  2.42391093E+01,  3.16538128E-01,  2.42391093E-01,  7.41470347E-02,  5.87534419E+00,  7.59691506E+00,  7.67260227E+00,  1.79725808E+00,  5.00981931E-02,  2.93767209E-01,
  4.62000022E-01,  2.43127554E+01,  3.16262111E-01,  2.43127554E-01,  7.31345571E-02,  5.91110074E+00,  7.59029066E+00,  7.68920334E+00,  1.77810260E+00,  5.00108614E-02,  2.95555037E-01,
  4.63000022E-01,  2.43853575E+01,  3.15912965E-01,  2.43853575E-01,  7.20593897E-02,  5.94645661E+00,  7.58191115E+00,  7.70365059E+00,  1.75719398E+00,  4.99005007E-02,  2.97322830E-01,
  4.64000022E-01,  2.44568538E+01,  3.15491764E-01,  2.44568538E-01,  7.09232261E-02,  5.98137699E+00,  7.57180235E+00,  7.71593597E+00,  1.73455897E+00,  4.97675267E-02,  2.99068850E-01,
  4.65000022E-01,  2.45271842E+01,  3.14999646E-01,  2.45271842E-01,  6.97278036E-02,  6.01582765E+00,  7.55999150E+00,  7.72605434E+00,  1.71022668E+00,  4.96123884E-02,  3.00791383E-01,
  4.66000022E-01,  2.45962903E+01,  3.14437804E-01,  2.45962903E-01,  6.84749012E-02,  6.04977496E+00,  7.54650730E+00,  7.73400350E+00,  1.68422855E+00,  4.94355663E-02,  3.02488748E-01,
  4.67000022E-01,  2.46641155E+01,  3.13807492E-01,  2.46641155E-01,  6.71663374E-02,  6.08318592E+00,  7.53137981E+00,  7.73978422E+00,  1.65659830E+00,  4.92375710E-02,  3.04159296E-01,
  4.68000022E-01,  2.47306050E+01,  3.13110018E-01,  2.47306050E-01,  6.58039680E-02,  6.11602825E+00,  7.51464044E+00,  7.74340019E+00,  1.62737194E+00,  4.90189418E-02,  3.05801413E-01,
  4.69000022E-01,  2.47957061E+01,  3.12346745E-01,  2.47957061E-01,  6.43896837E-02,  6.14827041E+00,  7.49632187E+00,  7.74485809E+00,  1.59658767E+00,  4.87802445E-02,  3.07413521E-01,
  4.70000022E-01,  2.48593677E+01,  3.11519086E-01,  2.48593677E-01,  6.29254084E-02,  6.17988164E+00,  7.47645806E+00,  7.74416751E+00,  1.56428587E+00,  4.85220704E-02,  3.08994082E-01,
  4.71000022E-01,  2.49215409E+01,  3.10628505E-01,  2.49215409E-01,  6.14130963E-02,  6.21083202E+00,  7.45508413E+00,  7.74134101E+00,  1.53050899E+00,  4.82450342E-02,  3.10541601E-01,
  4.72000022E-01,  2.49821786E+01,  3.09676516E-01,  2.49821786E-01,  5.98547299E-02,  6.24109247E+00,  7.43223638E+00,  7.73639402E+00,  1.49530155E+00,  4.79497722E-02,  3.12054623E-01,
  4.73000022E-01,  2.50412357E+01,  3.08664675E-01,  2.50412357E-01,  5.82523180E-02,  6.27063485E+00,  7.40795220E+00,  7.72934488E+00,  1.45871003E+00,  4.76369408E-02,  3.13531743E-01,
  4.74000023E-01,  2.50986692E+01,  3.07594585E-01,  2.50986692E-01,  5.66078932E-02,  6.29943197E+00,  7.38227005E+00,  7.72021476E+00,  1.42078279E+00,  4.73072145E-02,  3.14971598E-01,
  4.75000023E-01,  2.51544382E+01,  3.06467891E-01,  2.51544382E-01,  5.49235097E-02,  6.32745760E+00,  7.35522939E+00,  7.70902762E+00,  1.38157003E+00,  4.69612842E-02,  3.16372880E-01,
  4.76000023E-01,  2.52085036E+01,  3.05286277E-01,  2.52085036E-01,  5.32012407E-02,  6.35468655E+00,  7.32687065E+00,  7.69581022E+00,  1.34112367E+00,  4.65998554E-02,  3.17734327E-01,
  4.77000023E-01,  2.52608287E+01,  3.04051464E-01,  2.52608287E-01,  5.14431769E-02,  6.38109468E+00,  7.29723514E+00,  7.68059196E+00,  1.29949728E+00,  4.62236464E-02,  3.19054734E-01,
  4.78000023E-01,  2.53113787E+01,  3.02765211E-01,  2.53113787E-01,  4.96514236E-02,  6.40665894E+00,  7.26636506E+00,  7.66340493E+00,  1.25674599E+00,  4.58333865E-02,  3.20332947E-01,
  4.79000023E-01,  2.53601211E+01,  3.01429309E-01,  2.53601211E-01,  4.78280986E-02,  6.43135740E+00,  7.23430342E+00,  7.64428377E+00,  1.21292637E+00,  4.54298142E-02,  3.21567870E-01,
  4.80000023E-01,  2.54070251E+01,  3.00045582E-01,  2.54070251E-01,  4.59753302E-02,  6.45516926E+00,  7.20109396E+00,  7.62326563E+00,  1.16809637E+00,  4.50136755E-02,  3.22758463E-01,
  4.81000023E-01,  2.54520626E+01,  2.98615881E-01,  2.54520626E-01,  4.40952548E-02,  6.47807491E+00,  7.16678114E+00,  7.60039010E+00,  1.12231519E+00,  4.45857222E-02,  3.23903746E-01,
  4.82000023E-01,  2.54952073E+01,  2.97142087E-01,  2.54952073E-01,  4.21900146E-02,  6.50005593E+00,  7.13141009E+00,  7.57569910E+00,  1.07564317E+00,  4.41467100E-02,  3.25002797E-01,
  4.83000023E-01,  2.55364350E+01,  2.95626105E-01,  2.55364350E-01,  4.02617555E-02,  6.52109511E+00,  7.09502653E+00,  7.54923681E+00,  1.02814170E+00,  4.36973971E-02,  3.26054756E-01,
  4.84000023E-01,  2.55757238E+01,  2.94069863E-01,  2.55757238E-01,  3.83126252E-02,  6.54117649E+00,  7.05767672E+00,  7.52104961E+00,  9.79873121E-01,  4.32385423E-02,  3.27058824E-01,
  4.85000023E-01,  2.56130540E+01,  2.92475310E-01,  2.56130540E-01,  3.63447705E-02,  6.56028535E+00,  7.01940745E+00,  7.49118592E+00,  9.30900569E-01,  4.27709036E-02,  3.28014267E-01,
  4.86000023E-01,  2.56484078E+01,  2.90844414E-01,  2.56484078E-01,  3.43603357E-02,  6.57840824E+00,  6.98026594E+00,  7.45969615E+00,  8.81287903E-01,  4.22952366E-02,  3.28920412E-01,
  4.87000023E-01,  2.56817698E+01,  2.89179159E-01,  2.56817698E-01,  3.23614600E-02,  6.59553303E+00,  6.94029980E+00,  7.42663259E+00,  8.31099568E-01,  4.18122929E-02,  3.29776651E-01,
  4.88000023E-01,  2.57131267E+01,  2.87481543E-01,  2.57131267E-01,  3.03502760E-02,  6.61164882E+00,  6.89955702E+00,  7.39204932E+00,  7.80400491E-01,  4.13228187E-02,  3.30582441E-01,
  4.89000023E-01,  2.57424670E+01,  2.85753577E-01,  2.57424670E-01,  2.83289071E-02,  6.62674608E+00,  6.85808585E+00,  7.35600203E+00,  7.29255957E-01,  4.08275534E-02,  3.31337304E-01,
  4.90000023E-01,  2.57697818E+01,  2.83997284E-01,  2.57697818E-01,  2.62994658E-02,  6.64081653E+00,  6.81593481E+00,  7.31854803E+00,  6.77731494E-01,  4.03272285E-02,  3.32040827E-01,
  4.91000023E-01,  2.57950640E+01,  2.82214691E-01,  2.57950640E-01,  2.42640515E-02,  6.65385324E+00,  6.77315258E+00,  7.27974600E+00,  6.25892760E-01,  3.98225659E-02,  3.32692662E-01,
  4.92000023E-01,  2.58183086E+01,  2.80407835E-01,  2.58183086E-01,  2.22247488E-02,  6.66585059E+00,  6.72978803E+00,  7.23965601E+00,  5.73805422E-01,  3.93142769E-02,  3.33292529E-01,
  4.93000023E-01,  2.58395128E+01,  2.78578754E-01,  2.58395128E-01,  2.01836253E-02,  6.67680424E+00,  6.68589009E+00,  7.19833929E+00,  5.21535046E-01,  3.88030610E-02,  3.33840212E-01,
  4.94000023E-01,  2.58586759E+01,  2.76729489E-01,  2.58586759E-01,  1.81427300E-02,  6.68671120E+00,  6.64150774E+00,  7.15585818E+00,  4.69146976E-01,  3.82896051E-02,  3.34335560E-01,
  4.95000024E-01,  2.58757991E+01,  2.74862082E-01,  2.58757991E-01,  1.61040911E-02,  6.69556977E+00,  6.59668996E+00,  7.11227600E+00,  4.16706226E-01,  3.77745820E-02,  3.34778489E-01,
  4.96000024E-01,  2.58908855E+01,  2.72978570E-01,  2.58908855E-01,  1.40697146E-02,  6.70337953E+00,  6.55148568E+00,  7.06765690E+00,  3.64277369E-01,  3.72586498E-02,  3.35168977E-01,
  4.97000024E-01,  2.59039406E+01,  2.71080988E-01,  2.59039406E-01,  1.20415819E-02,  6.71014137E+00,  6.50594370E+00,  7.02206579E+00,  3.11924422E-01,  3.67424509E-02,  3.35507069E-01,
  4.98000024E-01,  2.59149714E+01,  2.69171363E-01,  2.59149714E-01,  1.00216490E-02,  6.71585744E+00,  6.46011272E+00,  6.97556819E+00,  2.59710746E-01,  3.62266114E-02,  3.35792872E-01,
  4.99000024E-01,  2.59239872E+01,  2.67251716E-01,  2.59239872E-01,  8.01184380E-03,  6.72053115E+00,  6.41404119E+00,  6.92823009E+00,  2.07698936E-01,  3.57117399E-02,  3.36026557E-01,
