        2-nd order single ODE 
     Method: Runge-Kutta 4th order
    t       x(t)        v(t)        energy
   1.29000   5.07221   4.06481  21.12500
   1.30000   5.11260   4.01389  21.12500
   1.31000   5.15248   3.96256  21.12500
   1.32000   5.19185   3.91084  21.12500
   1.33000   5.23070   3.85873  21.12500
   1.34000   5.26903   3.80623  21.12500
   1.35000   5.30682   3.75335  21.12500
   1.36000   5.34409   3.70009  21.12500
   1.37000   5.38082   3.64647  21.12500
   1.38000   5.41702   3.59248  21.12500
   1.39000   5.45267   3.53813  21.12500
   1.40000   5.48778   3.48343  21.12500
   1.41000   5.52234   3.42838  21.12500
   1.42000   5.55635   3.37298  21.12500
   1.43000   5.58980   3.31725  21.12500
   1.44000   5.62269   3.26119  21.12500
   1.45000   5.65502   3.20480  21.12500
   1.46000   5.68679   3.14809  21.12500
   1.47000   5.71798   3.09107  21.12500
   1.48000   5.74861   3.03373  21.12500
   1.49000   5.77866   2.97610  21.12500
   1.50000   5.80813   2.91816  21.12500
   1.51000   5.83702   2.85993  21.12500
   1.52000   5.86532   2.80142  21.12500
   1.53000   5.89305   2.74263  21.12500
   1.54000   5.92018   2.68356  21.12500
   1.55000   5.94672   2.62423  21.12500
   1.56000   5.97266   2.56463  21.12500
   1.57000   5.99801   2.50478  21.12500
   1.58000   6.02275   2.44467  21.12500
   1.59000   6.04690   2.38432  21.12500
   1.60000   6.07044   2.32374  21.12500
   1.61000   6.09337   2.26292  21.12500
   1.62000   6.11570   2.20187  21.12500
   1.63000   6.13741   2.14061  21.12500
   1.64000   6.15851   2.07913  21.12500
   1.65000   6.17899   2.01744  21.12500
   1.66000   6.19886   1.95555  21.12500
   1.67000   6.21810   1.89346  21.12500
   1.68000   6.23673   1.83119  21.12500
   1.69000   6.25473   1.76873  21.12500
   1.70000   6.27210   1.70610  21.12500
   1.71000   6.28885   1.64329  21.12500
   1.72000   6.30497   1.58032  21.12500
   1.73000   6.32045   1.51719  21.12500
   1.74000   6.33531   1.45391  21.12500
   1.75000   6.34953   1.39049  21.12500
   1.76000   6.36312   1.32693  21.12500
   1.77000   6.37607   1.26323  21.12500
   1.78000   6.38838   1.19941  21.12500
   1.79000   6.40006   1.13546  21.12500
   1.80000   6.41109   1.07141  21.12500
   1.81000   6.42148   1.00724  21.12500
   1.82000   6.43124   0.94298  21.12500
   1.83000   6.44034   0.87862  21.12500
   1.84000   6.44881   0.81417  21.12500
   1.85000   6.45663   0.74965  21.12500
   1.86000   6.46380   0.68504  21.12500
   1.87000   6.47033   0.62037  21.12500
   1.88000   6.47621   0.55564  21.12500
   1.89000   6.48144   0.49085  21.12500
   1.90000   6.48602   0.42601  21.12500
   1.91000   6.48996   0.36113  21.12500
   1.92000   6.49325   0.29622  21.12500
   1.93000   6.49588   0.23127  21.12500
   1.94000   6.49787   0.16630  21.12500
   1.95000   6.49921   0.10131  21.12500
   1.96000   6.49990   0.03632  21.12500
   1.97000   6.49994  -0.02868  21.12500
   1.98000   6.49932  -0.09368  21.12500
   1.99000   6.49806  -0.15867  21.12500
   2.00000   6.49615  -0.22364  21.12500
   2.01000   6.49359  -0.28859  21.12500
   2.02000   6.49038  -0.35351  21.12500
   2.03000   6.48652  -0.41839  21.12500
   2.04000   6.48201  -0.48324  21.12500
   2.05000   6.47686  -0.54803  21.12500
   2.06000   6.47105  -0.61277  21.12500
   2.07000   6.46460  -0.67745  21.12500
   2.08000   6.45750  -0.74206  21.12500
   2.09000   6.44976  -0.80660  21.12500
   2.10000   6.44137  -0.87105  21.12500
   2.11000   6.43234  -0.93542  21.12500
   2.12000   6.42266  -0.99970  21.12500
   2.13000   6.41235  -1.06387  21.12500
   2.14000   6.40139  -1.12794  21.12500
   2.15000   6.38979  -1.19190  21.12500
   2.16000   6.37755  -1.25574  21.12500
   2.17000   6.36467  -1.31945  21.12500
   2.18000   6.35116  -1.38303  21.12500
   2.19000   6.33701  -1.44647  21.12500
   2.20000   6.32223  -1.50977  21.12500
   2.21000   6.30682  -1.57291  21.12500
   2.22000   6.29077  -1.63590  21.12500
   2.23000   6.27410  -1.69872  21.12500
   2.24000   6.25680  -1.76138  21.12500
   2.25000   6.23887  -1.82386  21.12500
   2.26000   6.22032  -1.88615  21.12500
   2.27000   6.20115  -1.94826  21.12500
   2.28000   6.18136  -2.01018  21.12500
   2.29000   6.16095  -2.07189  21.12500
   2.30000   6.13992  -2.13339  21.12500
   2.31000   6.11828  -2.19468  21.12500
   2.32000   6.09603  -2.25576  21.12500
   2.33000   6.07317  -2.31660  21.12500
   2.34000   6.04970  -2.37722  21.12500
   2.35000   6.02562  -2.43759  21.12500
   2.36000   6.00095  -2.49773  21.12500
   2.37000   5.97567  -2.55761  21.12500
   2.38000   5.94979  -2.61724  21.12500
   2.39000   5.92333  -2.67661  21.12500
   2.40000   5.89626  -2.73570  21.12500
   2.41000   5.86861  -2.79453  21.12500
   2.42000   5.84037  -2.85307  21.12500
   2.43000   5.81155  -2.91133  21.12500
   2.44000   5.78215  -2.96930  21.12500
   2.45000   5.75217  -3.02698  21.12500
   2.46000   5.72161  -3.08434  21.12500
   2.47000   5.69048  -3.14141  21.12500
   2.48000   5.65878  -3.19815  21.12500
   2.49000   5.62652  -3.25458  21.12500
   2.50000   5.59369  -3.31068  21.12500
   2.51000   5.56031  -3.36645  21.12500
   2.52000   5.52636  -3.42189  21.12500
   2.53000   5.49187  -3.47698  21.12500
   2.54000   5.45683  -3.53172  21.12500
   2.55000   5.42124  -3.58611  21.12500
   2.56000   5.38510  -3.64014  21.12500
   2.57000   5.34843  -3.69381  21.12500
   2.58000   5.31123  -3.74711  21.12500
   2.59000   5.27349  -3.80003  21.12500
   2.60000   5.23523  -3.85258  21.12500
   2.61000   5.19644  -3.90474  21.12500
   2.62000   5.15714  -3.95651  21.12500
   2.63000   5.11731  -4.00788  21.12500
   2.64000   5.07698  -4.05885  21.12500
   2.65000   5.03614  -4.10942  21.12500
   2.66000   4.99479  -4.15957  21.12500
   2.67000   4.95295  -4.20931  21.12500
   2.68000   4.91061  -4.25863  21.12500
   2.69000   4.86778  -4.30752  21.12500
   2.70000   4.82446  -4.35598  21.12500
   2.71000   4.78066  -4.40401  21.12500
   2.72000   4.73638  -4.45159  21.12500
   2.73000   4.69163  -4.49873  21.12500
   2.74000   4.64641  -4.54543  21.12500
   2.75000   4.60072  -4.59166  21.12500
   2.76000   4.55458  -4.63744  21.12500
   2.77000   4.50797  -4.68275  21.12500
