ID, X_(m), Y_(m), Z_(m), EL_new_(DEG), AZ_new_(DEG)
9255,    6.4696337728349862,    9.3069711070512469,    0.7285725692951659,    2.2572613097929954, -132.1958119197805956
9277,   -0.3177987800738010,  -11.9773207132894299,    2.4529502123867051,    0.4479699327022794,   -2.1938426314933537
9258,    5.7473864195584232,    7.7273354120699818,    0.6445622090647007,  -10.5485588562402484, -133.3062910211015719
9305,  -15.7480611523020304,    2.2209491266841717,    1.5490809328696495,    3.0587090935899575,   87.7224011990376340
9257,    6.3538337839398604,    9.6163909155246170,    0.7478291810477833,    4.0324748417018776, -100.5939085765167817
9307,  -15.8248704324873462,    1.8552401669673166,    1.5595210602744909,    4.2633983821395880,  118.1751655706648023
9253,    6.6504253141720806,    8.9513785093254299,    0.7390780499392915,    2.0184074943755514, -169.4416156758737202
9236,    6.2471998869394341,    9.6736623994789692,    0.7081128023587726,   -1.4104866191196543,  -88.4074680479925377
9303,  -15.7693419254498579,    2.5129005135512834,    1.5662756762699126,    1.2979285811157175,   57.8495787253088594
9326,   -1.3904154162567866,    1.6159372424129144,    4.8755112609259079,  -34.5291918213947113,   -1.9953863629160793
9238,    6.1783070687279569,   10.0271585700996599,    0.6616276363873799,   -1.9784247222157649,  -69.2485090649045816
9275,   -0.8169494391371313,  -11.8949454303353122,    2.4280705992291032,    1.4090035723775487,  -40.0015977162478293
9340,   -1.3457141324305852,    1.7382843843169100,    4.6782568792452661,  -38.4088869887971853,  -23.4464057294549946
9309,  -16.0335403535606638,    1.6824605717996919,    1.5593944389251182,    3.6319366440560290,  149.0617127889980793
9273,   -0.9968817739425606,  -11.9820983862250348,    2.4084385913809281,    0.7651608893949338,  -66.9828220625373518
9322,   -1.6477541476284343,    0.4773650337896598,    4.8168382127112874,  -12.6882681243377800, -139.1419879287738866
9279,    0.0367062401776133,  -12.1664642275061272,    2.4539088104790276,    2.0614389591953981,   33.5965038418789348
9251,    6.9806556823647057,    8.9820253354511781,    0.7471384762171618,    2.5002670767424693,  157.4843244175263521
9281,    0.2703913005356506,  -12.5122038297120106,    2.4123478225098007,    2.3814408763414399,   67.9200753235855217
9283,    0.2295330839991239,  -12.8981990084432230,    2.5114642651099759,    3.7436111040012685,  101.4811923374990101
9311,  -16.3581367247852505,    1.6201387583944724,    1.5587764893189804,    7.4325113212916074,  179.0989562784948816
9249,    7.2764848703389386,    9.0403320965915004,    0.7089222421296664,    2.2211937682322787,  127.9810178975957342
9214,   -1.8010465240444966,    0.3703208659615962,    4.7697961478468134,   -9.0119008424575071, -112.1241313499492662
9313,  -16.6605544870815407,    1.7574026014527053,    1.5796612358241906,    4.3274299539479628, -146.9552152590748904
9315,  -16.8182174447875461,    2.1195031070121679,    1.5655354989946120,    3.2414864334495701, -107.7531282911104000
9271,   -1.1113066663273417,  -12.2011121660355997,    2.3802662850354848,   -1.3848552179284641,  -90.5364865598429702
9285,    0.3447403688525765,  -13.3531776123300769,    2.4596937858590797,    4.4187962823205762,  132.6696224811079503
9287,   -0.0415791033544386,  -13.2874537440659850,    2.4885038010985507,    1.7492789769150567,  164.7121803529043973
9289,   -0.4275665331315766,  -13.3678352836908818,    2.5054036543988145,    2.2092032738200031, -163.6759157283455579
9291,   -0.6123580864480658,  -13.3121175830208696,    2.4812332448878820,    4.4833496523688332, -136.6795762303228230
9293,   -0.8926968401154394,  -12.8651444395201189,    2.4203837646495159,    0.9500386479582553, -100.7085887067480598
9301,  -15.9116694365775455,    2.7663595117372699,    1.5612371531972076,    2.8590709786760895,   31.8875514117568173
9205,   -1.3206588432740871,    1.7299734306022607,    4.6791588402406710,  -19.2350157698273421,  -19.1001886838490975
9299,  -16.1654971442797972,    2.9144923423634834,    1.5652169387797872,    3.4158881786127937,   -0.5380776271906456
9204,   -1.4623472340775450,    1.6814335220716226,    4.6928774695950892,  -13.9498307200270517,  -52.2630047976849852
9297,  -16.5853375075984104,    2.9678925034408383,    1.5527851036211460,    5.4668182947797321,  -33.8585190342599418
9295,  -16.8481070180238675,    2.8382768413049728,    1.5001299403430317,   -0.6473536608965141,  -64.1688286472347329
9190,   -4.1596315093631855,    0.7783654410620562,    1.3610916349474724,   63.9455306042688179,   87.1213197480577008
9196,   -4.1634492305416968,    0.6648905967363437,    1.4600081396888887,   63.6675508291435008,   72.2091467258041320
9240,    6.4410242022186495,   10.2068938820231061,    0.6815425910249422,   -2.6296805673131152,  -35.8437997963881188
9242,    6.6938260911540626,   10.2800986586167795,    0.7004140094813658,   -1.6024308797623446,   -6.9827976663202804
9244,    7.0330770948677408,   10.1668446977493989,    0.7045194847412728,   -0.8000505360322860,   29.3044505145663265
9246,    7.1413600733338534,    9.8388950310333474,    0.7332546108996376,   -0.1132077643036587,   56.8972917082165779
9247,    7.3195615820199542,    9.5819913344488370,    0.7372874242119223,    0.7765601303910805,   81.2250704599509703
9304,  -15.7095374546188840,    2.3412469117870707,    1.5445132621115456,    2.3925091946250192,   74.7017287502446266
